video,raag,tonic_hz,note,hum_hz,snap_cents,snapped,clip,timestamp
5917dtJPdbU,Basant,146.9807,D3,293.6648,1.7,yes,train_[5917dtJPdbU]_chunk1.mp3,2026-08-22T16:12:08
5qPzk512H28,Basant,155.6825,D♯3,312.9293,-8.7,yes,train_[5qPzk512H28]_chunk1.mp3,2026-08-22T16:12:31
M2o4LwjW_Pg,Basant,180.9763,F♯3,359.4614,12.0,yes,train_[M2o4LwjW_Pg]_chunk1.mp3,2026-08-22T16:12:49
ao5_ZlF91L8,Basant,162.6775,E3,322.0989,17.4,yes,test_[ao5_ZlF91L8]_chunk1.mp3,2026-08-22T16:13:28
ax201ohzl5k,Basant,115.5246,A♯2,234.4321,-25.2,yes,train_[ax201ohzl5k]_chunk1.mp3,2026-08-22T16:14:02
eapl_XTpfBU,Basant,147.9145,D3,297.0770,-7.3,yes,train_[eapl_XTpfBU]_chunk1.mp3,2026-08-22T16:14:23
1MUL6GJXZ1k,Bhairav,140.4700,C♯3,277.1826,23.3,yes,train_[1MUL6GJXZ1k]_chunk1.mp3,2026-08-22T16:14:48
G0V0q_yA49U,Bhairav,109.8031,A2,221.2744,-13.1,yes,train_[G0V0q_yA49U]_chunk1.mp3,2026-08-22T16:18:16
NMHoLg5PxRM,Bhairav,136.3916,C♯3,282.0277,-57.7,yes,train_[NMHoLg5PxRM]_chunk1.mp3,2026-08-22T16:18:43
b0dm0th5bnY,Bhairav,150.3171,D3,295.3660,30.6,yes,train_[b0dm0th5bnY]_chunk1.mp3,2026-08-22T16:19:27
cPqhyjlmlrI,Bhairav,143.3542,D3,290.2917,-21.5,yes,train_[cPqhyjlmlrI]_chunk1.mp3,2026-08-22T16:20:03
zXQ059Uftv4,Bhairav,109.9354,A2,222.5563,-21.0,yes,train_[zXQ059Uftv4]_chunk1.mp3,2026-08-22T16:20:32
6UKoLTO8UyU,Bhairavi,146.0110,D3,290.2917,10.3,yes,train_[6UKoLTO8UyU]_chunk1.mp3,2026-08-22T16:21:27
7uSg_dpobD8,Bhairavi,155.2519,D♯3,312.9293,-13.5,yes,train_[7uSg_dpobD8]_chunk1.mp3,2026-08-22T16:22:04
OX6Da7jmYP8,Bhairavi,145.9340,D3,298.7979,-40.6,yes,test_[OX6Da7jmYP8]_chunk1.mp3,2026-08-22T16:22:18
bttszaG-fZU,Bhairavi,142.2219,C♯3,286.9575,-15.2,yes,train_[bttszaG-fZU]_chunk1.mp3,2026-08-22T16:22:45
tLXNNejKhJs,Bhairavi,167.6947,E3,335.3893,0.0,NO,train_[tLXNNejKhJs]_chunk1.mp3,2026-08-22T16:23:20
0Sgxa6Zm8xs,Bheempalasi,182.4266,F♯3,181.8191,5.8,yes,train_[0Sgxa6Zm8xs]_chunk1.mp3,2026-08-22T16:23:43
4UovDhFblEs,Bheempalasi,164.3520,E3,80.0609,45.1,yes,train_[4UovDhFblEs]_chunk1.mp3,2026-08-22T16:24:36
4V9tuRuTlZs,Bheempalasi,116.6187,A♯2,231.7394,11.2,yes,train_[4V9tuRuTlZs]_chunk1.mp3,2026-08-22T16:25:14
GV5iXmlTyYE,Bheempalasi,233.7536,A♯3,466.1638,5.0,yes,train_[GV5iXmlTyYE]_chunk1.mp3,2026-08-22T16:25:32
Kk9to6Xk1K8,Bheempalasi,166.3089,E3,165.7685,5.6,yes,train_[Kk9to6Xk1K8]_chunk1.mp3,2026-08-22T16:26:11
Vfy_7Yce9U4,Bheempalasi,136.9860,C♯3,273.9989,-0.2,yes,train_[Vfy_7Yce9U4]_chunk1.mp3,2026-08-22T16:27:35
s2BS16lDoXI,Bheempalasi,152.5657,D♯3,305.7820,-3.7,yes,train_[s2BS16lDoXI]_chunk1.mp3,2026-08-22T16:27:55
tnzKppPRW4g,Bheempalasi,155.2277,D♯3,311.1270,-3.7,yes,train_[tnzKppPRW4g]_chunk1.mp3,2026-08-22T16:29:23
6NQ8FaBC5zI,Bhoopali,147.1192,D3,295.3660,-6.6,yes,train_[6NQ8FaBC5zI]_chunk1.mp3,2026-08-22T16:30:51
LZ8BJfU-7t8,Bhoopali,165.5629,E3,331.5371,-2.1,yes,train_[LZ8BJfU-7t8]_chunk1.mp3,2026-08-22T16:31:44
StR7c5yTZkw,Bhoopali,233.2714,A♯3,463.4789,11.4,yes,train_[StR7c5yTZkw]_chunk1.mp3,2026-08-22T16:32:07
Swxz9gzIdtY,Bhoopali,154.9498,D♯3,312.9293,-16.8,yes,train_[Swxz9gzIdtY]_chunk1.mp3,2026-08-22T16:32:32
WfKpt-_kLdA,Bhoopali,121.5204,B2,244.1053,-7.6,yes,test_[WfKpt-_kLdA]_chunk1.mp3,2026-08-22T16:32:53
bRuEg0dmbgI,Bhoopali,182.7865,F♯3,181.8191,9.2,yes,train_[bRuEg0dmbgI]_chunk1.mp3,2026-08-22T16:33:14
lqWJOJ-kzeQ,Bhoopali,146.8785,D3,293.6648,0.5,yes,train_[lqWJOJ-kzeQ]_chunk1.mp3,2026-08-22T16:33:51
oOjWM7td-gg,Bhoopali,147.7025,D3,297.0770,-9.8,yes,train_[oOjWM7td-gg]_chunk1.mp3,2026-08-22T16:34:17
0_ctoHxV4Ss,Bihag,147.8931,D3,297.0770,-7.5,yes,train_[0_ctoHxV4Ss]_chunk1.mp3,2026-08-22T16:34:49
1zNuemR7KeA,MaruBihag,117.1309,A♯2,237.1561,-21.3,yes,train_[1zNuemR7KeA]_chunk0.mp3,2026-08-22T16:35:24
33zQuIX5rsI,Bihag,232.4179,A♯3,235.7902,-24.9,yes,train_[33zQuIX5rsI]_chunk1.mp3,2026-08-22T16:35:57
9yKmsoFiHWc,Bihag,148.0372,D3,297.0770,-5.9,yes,train_[9yKmsoFiHWc]_chunk1.mp3,2026-08-22T16:36:19
D1k2UC9rKus,Bihag,167.0,D3,167.0,0.0,NO,train_[D1k2UC9rKus]_chunk1.mp3,2026-08-30T18:00:00
RHFHowqSijs,Bihag,123.5163,B2,493.8833,0.6,yes,train_[RHFHowqSijs]_chunk1.mp3,2026-08-22T16:37:17
WlKw2Z7aANA,Bihag,235.1006,A♯3,237.1561,-15.1,yes,test_[WlKw2Z7aANA]_chunk1.mp3,2026-08-22T16:37:55
ds0KJ7shCU0,Bihag,116.9508,A♯2,234.4321,-3.9,yes,train_[ds0KJ7shCU0]_chunk1.mp3,2026-08-22T16:38:38
gRQ8g97HbB8,Bihag,138.4505,C♯3,277.1826,-1.8,yes,train_[gRQ8g97HbB8]_chunk1.mp3,2026-08-22T16:38:59
iesHWl8aQj8,Bihag,156.1263,D♯3,311.1270,6.3,yes,train_[iesHWl8aQj8]_chunk1.mp3,2026-08-22T16:40:02
jsvm_3oqWe4,Bihag,143.2659,D3,282.0277,27.4,yes,train_[jsvm_3oqWe4]_chunk1.mp3,2026-08-22T16:40:32
kXz-DodPuu4,Bihag,168.1983,E3,333.4576,15.2,yes,train_[kXz-DodPuu4]_chunk1.mp3,2026-08-22T16:41:32
BTN61VCCQqo,Chandrakauns,166.3526,E3,335.3893,-13.9,yes,train_[BTN61VCCQqo]_chunk1.mp3,2026-08-22T16:41:57
C_VMnnrbV-c,Chandrakauns,244.6081,B3,248.3722,-26.4,yes,train_[C_VMnnrbV-c]_chunk1.mp3,2026-08-22T16:42:42
NCa48FYiK7g,Chandrakauns,130.1191,C3,260.1187,0.8,yes,train_[NCa48FYiK7g]_chunk1.mp3,2026-08-22T16:43:18
S1cRSCOVW7E,Chandrakauns,166.6272,E3,333.4576,-1.1,yes,train_[S1cRSCOVW7E]_chunk1.mp3,2026-08-22T16:43:57
YhSl69_G5Ws,Chandrakauns,122.8656,B2,251.2581,-38.5,yes,test_[YhSl69_G5Ws]_chunk1.mp3,2026-08-22T16:44:22
b-JMVb9qD24,Chandrakauns,241.2180,B3,246.9417,-40.6,yes,train_[b-JMVb9qD24]_chunk1.mp3,2026-08-22T16:44:53
g22BWgZ2cCE,Chandrakauns,138.2278,C♯3,275.5862,5.5,yes,train_[g22BWgZ2cCE]_chunk1.mp3,2026-08-22T16:45:17
h7NhgdTfu_c,Chandrakauns,289.1,D4,289.1,0.0,NO,train_[h7NhgdTfu_c]_chunk1.mp3,2026-08-30T18:00:00
urgaVeN4EO0,Chandrakauns,143.8915,D3,288.6198,-5.0,yes,train_[urgaVeN4EO0]_chunk1.mp3,2026-08-22T16:46:26
3A6uPGBCEdQ,Charukeshi,146.6803,D3,293.6648,-1.8,yes,test_[3A6uPGBCEdQ]_chunk1.mp3,2026-08-22T16:47:04
98FLpKeOtNA,Charukeshi,148.2735,D3,295.3660,6.9,yes,train_[98FLpKeOtNA]_chunk1.mp3,2026-08-22T16:48:40
WvFEkcgnLsU,Charukeshi,142.8527,D3,291.9734,-37.6,yes,train_[WvFEkcgnLsU]_chunk1.mp3,2026-08-22T16:49:07
X3GbWOegovU,Charukeshi,148.8751,D3,295.3660,13.9,yes,train_[X3GbWOegovU]_chunk1.mp3,2026-08-22T16:49:36
ZYeKRrB8o0E,Charukeshi,219.5592,A3,222.5563,-23.5,yes,train_[ZYeKRrB8o0E]_chunk1.mp3,2026-08-23T17:01:30
b8AmxixBF2Y,Charukeshi,146.7869,D3,293.6648,-0.5,yes,train_[b8AmxixBF2Y]_chunk1.mp3,2026-08-23T17:01:59
rexmH89dTUU,Charukeshi,147.1011,D3,293.6648,3.2,yes,train_[rexmH89dTUU]_chunk1.mp3,2026-08-23T17:02:29
3BVK1iJ2tEw,DarbariKanada,177.2585,F3,349.2282,26.0,yes,test_[3BVK1iJ2tEw]_chunk1.mp3,2026-08-23T17:02:58
9tHmbMWStuM,DarbariKanada,165.5533,E3,333.4576,-12.2,yes,train_[9tHmbMWStuM]_chunk1.mp3,2026-08-23T17:03:55
FbKY_if4s_s,DarbariKanada,146.5831,D3,295.3660,-12.9,yes,train_[FbKY_if4s_s]_chunk1.mp3,2026-08-23T17:04:22
IKNN8CIF_as,DarbariKanada,138.8658,C♯3,275.5862,13.4,yes,train_[IKNN8CIF_as]_chunk1.mp3,2026-08-23T17:04:39
LJgaxfjQBzc,DarbariKanada,135.5407,C♯3,272.4208,-8.5,yes,train_[LJgaxfjQBzc]_chunk1.mp3,2026-08-23T17:05:04
UJrKhIEQVM0,DarbariKanada,166.5282,E3,335.3893,-12.1,yes,train_[UJrKhIEQVM0]_chunk1.mp3,2026-08-23T17:05:48
w94FZZn1WR4,DarbariKanada,236.4344,A♯3,238.5299,-15.3,yes,train_[w94FZZn1WR4]_chunk1.mp3,2026-08-23T17:06:08
03GbLTPIFyQ,Des,136.3142,C♯3,275.5862,-18.7,yes,train_[03GbLTPIFyQ]_chunk1.mp3,2026-08-23T17:06:36
DVRJEb6iK6k,Des,147.9573,D3,296.2215,-1.8,yes,train_[DVRJEb6iK6k]_chunk1.mp3,2026-08-23T17:07:01
GA8PPBn_s_Q,Des,158.4298,D♯3,315.6537,6.6,yes,train_[GA8PPBn_s_Q]_chunk0.mp3,2026-08-23T17:07:26
H53-Ts0USg0,Des,137.7086,C♯3,277.1826,-11.1,yes,train_[H53-Ts0USg0]_chunk1.mp3,2026-08-23T17:07:52
H93FF_7dztg,Des,157.0488,D♯3,316.5654,-13.5,yes,train_[H93FF_7dztg]_chunk1.mp3,2026-08-23T17:08:14
OP1oSJjEMC4,Des,117.2353,A♯2,234.4321,0.3,yes,train_[OP1oSJjEMC4]_chunk1.mp3,2026-08-23T17:08:37
g7MbPaBVDc8,Des,147.5,D3,147.5,0.0,NO,test_[g7MbPaBVDc8]_chunk1.mp3,2026-08-30T18:00:00
kwgeiUq_FFc,Des,139.3942,C♯3,278.7883,0.0,NO,train_[kwgeiUq_FFc]_chunk1.mp3,2026-08-23T17:10:02
pKUd26_qqao,Des,137.8075,C♯3,278.7883,-19.8,yes,train_[pKUd26_qqao]_chunk1.mp3,2026-08-23T17:10:21
0vseJcm5xPE,Deshkar,146.8276,D3,295.3660,-10.1,yes,train_[0vseJcm5xPE]_chunk1.mp3,2026-08-23T17:14:01
2lThBm7ZM5k,Deshkar,140.0201,C♯3,278.7883,7.8,yes,train_[2lThBm7ZM5k]_chunk1.mp3,2026-08-23T17:14:18
7oQj5Qh5ScU,Deshkar,139.8775,C♯3,282.0277,-14.0,yes,train_[7oQj5Qh5ScU]_chunk1.mp3,2026-08-23T17:16:46
B2YT_CJEn2k,Deshkar,146.9581,D3,295.3660,-8.5,yes,test_[B2YT_CJEn2k]_chunk1.mp3,2026-08-23T17:17:11
E8CFmo7tRWA,Deshkar,155.9212,D♯3,314.7421,-16.0,yes,train_[E8CFmo7tRWA]_chunk1.mp3,2026-08-23T17:17:37
EoGQm63n8aM,Deshkar,147.7701,D3,298.7979,-19.0,yes,train_[EoGQm63n8aM]_chunk1.mp3,2026-08-23T17:18:17
KBOoBK4dqYQ,Deshkar,164.3048,E3,331.5371,-15.4,yes,train_[KBOoBK4dqYQ]_chunk1.mp3,2026-08-23T17:18:46
Toa6p6InnIE,Deshkar,148.0146,D3,298.7979,-16.1,yes,train_[Toa6p6InnIE]_chunk1.mp3,2026-08-23T17:19:09
XUKviIKymUU,Deshkar,147.8196,D3,297.0770,-8.4,yes,train_[XUKviIKymUU]_chunk1.mp3,2026-08-23T17:19:35
fBseB_nF7sY,Deshkar,116.5412,A♯2,460.8094,20.0,yes,train_[fBseB_nF7sY]_chunk1.mp3,2026-08-23T17:20:04
jzkZA9RL54U,Deshkar,164.7396,E3,331.5371,-10.8,yes,train_[jzkZA9RL54U]_chunk1.mp3,2026-08-23T17:20:26
k0LbPgp4Uck,Deshkar,146.2964,D3,295.3660,-16.3,yes,train_[k0LbPgp4Uck]_chunk1.mp3,2026-08-23T17:21:25
05MaWBpkNvE,Dhani,116.9690,A♯2,234.4321,-3.7,yes,train_[05MaWBpkNvE]_chunk1.mp3,2026-08-23T17:21:49
4S9mw4_cx-U,Dhani,166.4625,E3,333.4576,-2.8,yes,test_[4S9mw4_cx-U]_chunk1.mp3,2026-08-23T17:22:50
9rNHf8Zs8JQ,Dhani,227.5285,A♯3,229.0777,-11.7,yes,train_[9rNHf8Zs8JQ]_chunk1.mp3,2026-08-23T17:23:11
AesovzVskRc,Dhani,164.3762,E3,165.7685,-14.6,yes,train_[AesovzVskRc]_chunk1.mp3,2026-08-23T17:24:08
INxq0Z5optI,Dhani,231.9445,A♯3,233.0819,-8.5,yes,train_[INxq0Z5optI]_chunk1.mp3,2026-08-23T17:24:36
PKUO-nqbABg,Dhani,116.2019,A♯2,231.7394,5.0,yes,train_[PKUO-nqbABg]_chunk1.mp3,2026-08-23T17:25:36
RyEXd5m44MU,Dhani,167.1462,E3,335.3893,-5.7,yes,train_[RyEXd5m44MU]_chunk1.mp3,2026-08-23T17:26:03
VzoKlWVcGIg,Dhani,232.3595,A♯3,466.1638,-5.4,yes,train_[VzoKlWVcGIg]_chunk1.mp3,2026-08-23T17:26:29
Z7lf3uzTJr0,Dhani,106.2530,G♯2,212.5060,0.0,NO,train_[Z7lf3uzTJr0]_chunk1.mp3,2026-08-23T17:31:31
gbiNh5KJi8o,Dhani,108.4424,A2,432.4411,5.3,yes,train_[gbiNh5KJi8o]_chunk1.mp3,2026-08-23T17:31:52
ni74gPoGNsE,Dhani,139.8363,C♯3,280.4033,-4.5,yes,train_[ni74gPoGNsE]_chunk1.mp3,2026-08-23T17:32:15
tLYfXjPsPq4,Dhani,155.9604,D♯3,77.7817,4.4,yes,train_[tLYfXjPsPq4]_chunk1.mp3,2026-08-23T17:32:42
2kbe6lPKJyY,Durga,156.2083,D♯3,78.2323,-2.8,yes,train_[2kbe6lPKJyY]_chunk1.mp3,2026-08-23T17:33:08
BDWNXr-F5kI,Durga,233.2632,A♯3,463.4789,11.3,yes,train_[BDWNXr-F5kI]_chunk1.mp3,2026-08-23T17:33:28
K7H-ptuxlr8,Durga,157.8097,D♯3,314.7421,4.8,yes,train_[K7H-ptuxlr8]_chunk1.mp3,2026-08-23T17:34:36
LvTIqjHN_nI,Durga,146.3073,D3,293.6648,-6.2,yes,train_[LvTIqjHN_nI]_chunk1.mp3,2026-08-23T17:35:31
SnnCUIOM4dE,Durga,137.6279,C♯3,273.9989,7.9,yes,train_[SnnCUIOM4dE]_chunk1.mp3,2026-08-23T17:35:56
T0JwJMAIypQ,Durga,147.2653,D3,295.3660,-4.9,yes,train_[T0JwJMAIypQ]_chunk1.mp3,2026-08-23T17:36:20
Wk2aLDgmPkA,Durga,162.6340,E3,323.9648,7.0,yes,train_[Wk2aLDgmPkA]_chunk1.mp3,2026-08-23T17:36:45
rTEHQJ5ld6E,Durga,147.1368,D3,288.6198,33.6,yes,train_[rTEHQJ5ld6E]_chunk1.mp3,2026-08-23T17:37:12
u3UlsCTv7aE,Durga,166.9651,E3,333.4576,2.5,yes,test_[u3UlsCTv7aE]_chunk1.mp3,2026-08-23T17:37:35
wvkQweUvkQI,Durga,167.1498,E3,333.4576,4.4,yes,train_[wvkQweUvkQI]_chunk1.mp3,2026-08-23T17:38:23
AqvgV-7DwC8,Hameer,107.0431,A2,214.9752,-7.2,yes,train_[AqvgV-7DwC8]_chunk1.mp3,2026-08-23T22:13:45
IVDB31uocTs,Hameer,113.0405,A2,222.5563,27.2,yes,train_[IVDB31uocTs]_chunk1.mp3,2026-08-23T22:14:03
_lnLC0x5vIE,Hameer,109.8849,A2,222.5563,-21.8,yes,train_[_lnLC0x5vIE]_chunk1.mp3,2026-08-23T22:14:33
yEMFA82tMv8,Hameer,156.7893,D♯3,311.1270,13.6,yes,train_[yEMFA82tMv8]_chunk1.mp3,2026-08-23T22:14:54
061_wWqkG5Y,HansDhwani,119.2650,A♯2,238.5299,0.0,NO,test_[061_wWqkG5Y]_chunk1.mp3,2026-08-23T22:16:00
Fjx0yOolD9Q,HansDhwani,168.4352,E3,166.7288,17.6,yes,train_[Fjx0yOolD9Q]_chunk1.mp3,2026-08-23T22:16:56
MRRXNVoaw3c,HansDhwani,131.4950,C3,260.1187,19.0,yes,train_[MRRXNVoaw3c]_chunk1.mp3,2026-08-23T22:17:09
WxDJsMQCSzQ,HansDhwani,147.2606,D3,291.9734,15.0,yes,train_[WxDJsMQCSzQ]_chunk1.mp3,2026-08-23T22:18:21
_tWVxtWtKnA,HansDhwani,146.2377,D3,293.6648,-7.0,yes,train_[_tWVxtWtKnA]_chunk1.mp3,2026-08-23T22:18:38
gjBV27Ia5pw,HansDhwani,140.6056,C♯3,285.3047,-25.0,yes,train_[gjBV27Ia5pw]_chunk1.mp3,2026-08-23T22:19:12
vWSHlPnq99U,HansDhwani,116.0135,A♯2,234.4321,-17.9,yes,train_[vWSHlPnq99U]_chunk1.mp3,2026-08-23T22:19:39
ACPlFRC4GeA,Hindol,132.6214,C3,269.2918,-26.2,yes,train_[ACPlFRC4GeA]_chunk1.mp3,2026-08-23T22:22:12
AmpUY_YbQAc,Hindol,121.1075,B2,245.5194,-23.5,yes,train_[AmpUY_YbQAc]_chunk1.mp3,2026-08-23T22:22:45
Bb3gcwWYlhU,Hindol,146.5126,D3,291.9734,6.2,yes,train_[Bb3gcwWYlhU]_chunk1.mp3,2026-08-23T22:23:01
He5cexarbyM,Hindol,146.2317,D3,291.1326,7.9,yes,train_[He5cexarbyM]_chunk1.mp3,2026-08-23T22:23:20
ZPq_t2p4q7Y,Hindol,165.2724,E3,329.6276,4.8,yes,train_[ZPq_t2p4q7Y]_chunk1.mp3,2026-08-23T22:23:40
a4wFpPa9KeY,Hindol,141.0172,C♯3,286.9575,-30.0,yes,test_[a4wFpPa9KeY]_chunk1.mp3,2026-08-23T22:24:41
kcm9TmlUJhk,Hindol,146.8147,D3,291.9734,9.8,yes,train_[kcm9TmlUJhk]_chunk1.mp3,2026-08-23T22:25:01
3i97Vmpe0bA,Jaijaivanti,156.9289,D♯3,316.5654,-14.9,yes,train_[3i97Vmpe0bA]_chunk1.mp3,2026-08-23T22:26:56
DQ_Yb1IFXZM,Jaijaivanti,145.1459,D3,290.2917,0.0,NO,train_[DQ_Yb1IFXZM]_chunk1.mp3,2026-08-23T22:29:25
Ii3ZKKV5FEw,Jaijaivanti,131.3307,C3,263.1411,-3.2,yes,train_[Ii3ZKKV5FEw]_chunk1.mp3,2026-08-23T22:29:41
LFL2QU19_Hg,Jaijaivanti,126.0214,B2,252.7136,-4.6,yes,train_[LFL2QU19_Hg]_chunk1.mp3,2026-08-23T22:30:01
McsXyiKIToo,Jaijaivanti,126.0711,B2,254.1776,-13.9,yes,train_[McsXyiKIToo]_chunk1.mp3,2026-08-23T22:30:28
X-O-aKH_vNQ,Jaijaivanti,232.1193,A♯3,234.4321,-17.2,yes,train_[X-O-aKH_vNQ]_chunk1.mp3,2026-08-23T22:31:30
_pDO9QwyM-w,Jaijaivanti,147.0283,D3,296.2215,-12.7,yes,train_[_pDO9QwyM-w]_chunk1.mp3,2026-08-23T22:31:59
